date,sentimentScore,niftyIndexChange,niftyIndex
2018-04-23,-0.1828574307304786,=C559-C560,10584.7
2018-04-20,-0.18959768637532137,=C560-C561,10564.05
2018-04-19,-0.1880088729016785,=C561-C562,10565.3
2018-04-18,-0.1321168618266981,=C562-C563,10526.2
2018-04-17,-0.12381073985680191,=C563-C564,10548.7
2018-04-16,-0.16523174603174612,=C564-C565,10528.35
2018-04-13,-0.1489592105263157,=C565-C566,10480.6
2018-04-12,-0.15428498727735376,=C566-C567,10458.65
2018-04-11,-0.17747063291139256,=C567-C568,10417.15
2018-04-10,-0.12101818181818186,=C568-C569,10402.25
2018-04-09,-0.11549131513647637,=C569-C570,10379.35
2018-04-06,-0.15299240837696335,=C570-C571,10331.6
2018-04-05,-0.1628143576826198,=C571-C572,10325.15
2018-04-04,-0.19052199488491053,=C572-C573,10128.4
2018-04-03,-0.09997605985037414,=C573-C574,10245.0
2018-04-02,-0.10396010498687666,=C574-C575,10211.8
2018-03-28,-0.1969535999999998,=C575-C576,10113.7
2018-03-27,-0.15040523560209426,=C576-C577,10184.15
2018-03-26,-0.11407206266318526,=C577-C578,10130.65
2018-03-23,-0.15303712737127398,=C578-C579,9998.05
2018-03-22,-0.129758354755784,=C579-C580,10114.75
2018-03-21,-0.1823447802197802,=C580-C581,10155.25
2018-03-20,-0.1023439897698211,=C581-C582,10124.35
2018-03-19,-0.1809215584415585,=C582-C583,10094.25
2018-03-16,-0.13908604651162793,=C583-C584,10195.15
2018-03-15,-0.10813065693430658,=C584-C585,10360.15
2018-03-14,-0.11922742718446608,=C585-C586,10410.9
2018-03-13,-0.15466301020408174,=C586-C587,10426.85
2018-03-12,-0.15383392857142852,=C587-C588,10421.4
2018-03-09,-0.1474732647814911,=C588-C589,10226.85
2018-03-08,-0.13739561855670104,=C589-C590,10242.65
2018-03-07,-0.1500920634920635,=C590-C591,10154.2
2018-03-06,-0.12438067010309282,=C591-C592,10249.25
2018-03-05,-0.1630521951219515,=C592-C593,10358.85
2018-03-01,-0.13209447513812156,=C593-C594,10458.35
2018-02-28,-0.15781891191709868,=C594-C595,10492.85
2018-02-27,-0.12404496124031031,=C595-C596,10554.3
2018-02-26,-0.12279388888888879,=C596-C597,10582.6
2018-02-23,-0.11621342105263172,=C597-C598,10491.05
2018-02-22,-0.16072506265664183,=C598-C599,10382.7
2018-02-21,-0.1580026525198939,=C599-C600,10397.45
2018-02-20,-0.13199187192118234,=C600-C601,10360.4
2018-02-19,-0.1185835543766579,=C601-C602,10378.4
2018-02-16,-0.15388037135278515,=C602-C603,10452.3
2018-02-15,-0.10076700767263426,=C603-C604,10545.5
2018-02-14,-0.14413422459893052,=C604-C605,10500.9
2018-02-12,-0.10637582697201015,=C605-C606,10539.75
2018-02-09,-0.20688981723237623,=C606-C607,10454.95
2018-02-08,-0.1584549222797927,=C607-C608,10576.85
2018-02-07,-0.12943205128205143,=C608-C609,10476.7
2018-02-06,-0.06914814814814815,=C609-C610,10498.25
2018-02-05,-0.11226551724137927,=C610-C611,10666.55
